Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year,engine
Toyota,Used,Diesel,1,Prado,2100000,Karachi,Cash,1997,1248 CC
Suzuki,Used,Petrol,100000,Bolan,380000,Karachi,Cash,2006,1498 CC
Suzuki,Used,CNG,12345,Bolan,340000,Karachi,Cash,1998,1497 CC
Suzuki,Used,Petrol,94000,Alto,535000,Karachi,Cash,2010,1396 CC
Toyota,Used,Petrol,100000,Corolla XLI,1430000,Karachi,Cash,2013,1298 CC
Toyota,Used,Petrol,80000,Corrolla Altis,1620000,Karachi,Cash,2012,1197 CC
Suzuki,New,CNG,65000,Cultus VXL,450000,Karachi,Cash,2006,1061 CC
Toyota,New,Petrol,10241,Corrolla Altis,2900000,Karachi,Cash,2017,796 CC
Suzuki,Used,CNG,83000,Alto,490000,Karachi,Cash,2009,1364 CC
Honda,Used,Petrol,1,Civic VTi,480000,Karachi,Cash,1997,1399 CC
Suzuki,Used,CNG,123,Khyber,230000,Karachi,Cash,1994,1461 CC
Suzuki,Used,CNG,73000,Liana,535000,Karachi,Cash,2006,993 CC
Toyota,Used,Petrol,78000,Passo,770000,Karachi,Cash,2006,1248 CC
Honda,Used,Petrol,1,Civic Prosmetic,490000,Karachi,Cash,1997,
Honda,Used,CNG,170000,Civic EXi,160000,Karachi,Cash,1984,1061 CC
Suzuki,Used,Petrol,200000,Alto,425000,Karachi,Cash,2005,1198 CC
Daihatsu,Used,Petrol,100000,Charade,180000,Karachi,Cash,1988,1248 CC
Mitsubishi,Used,Petrol,82000,Pajero Mini,520000,Karachi,Cash,1995,1396 CC
Suzuki,Used,CNG,10000,Margalla,400000,Karachi,Cash,1990,796 CC
Honda,Used,Petrol,69500,City IVTEC,1400000,Karachi,Cash,2014,1396 CC
Suzuki,Used,CNG,10000,Khyber,175000,Karachi,Cash,1989,1461 CC
KIA,Used,CNG,123456,Classic,120000,Karachi,Cash,2001,1498 CC
Honda,Used,CNG,87611,Civic EXi,590000,Karachi,Cash,2000,1248 CC
Honda,Used,Hybrid,19000,Other,425000,Karachi,Cash,1995,1248 CC
Honda,Used,CNG,99000,Civic EXi,685000,Karachi,Cash,2005,1199 CC
Suzuki,Used,CNG,88000,Alto,465000,Karachi,Cash,2007,1197 CC
Toyota,Used,Petrol,75000,Corolla GLI,1190000,Karachi,Cash,2010,796 CC
Other Brands,Used,Petrol,124000,Other,850000,Karachi,Cash,2010,1248 CC
Suzuki,Used,CNG,76000,Cultus VXR,370000,Karachi,Cash,2002,1061 CC
Nissan,New,Petrol,47000,Dayz Highway Star,1175000,Karachi,Cash,2013,796 CC
Toyota,New,Petrol,43000,Corolla XLI,1675000,Karachi,Cash,2015,1248 CC
Suzuki,Used,CNG,3875,Mehran VX,195000,Karachi,Cash,1999,
Suzuki,Used,CNG,98000,Mehran VX,165000,Karachi,Cash,1991,796 CC
Suzuki,Used,Petrol,1000,Alto,420000,Karachi,Cash,2006,1197 CC
Toyota,Used,Petrol,39000,Vitz,1430000,Karachi,Cash,2014,1248 CC
Suzuki,Used,CNG,127000,Mehran VXR,150000,Karachi,Cash,1991,796 CC
Suzuki,Used,LPG,786,Carry,130000,Karachi,Cash,1982,998 CC
Suzuki,Used,CNG,70,Cultus VXR,415000,Karachi,Cash,2004,1591 CC
Suzuki,Used,CNG,99999,Mehran VX,185000,Karachi,Cash,1997,1198 CC
Toyota,Used,Petrol,89000,Passo,1040000,Karachi,Cash,2010,2179 CC
Suzuki,Used,CNG,1,Cultus VX,400000,Karachi,Cash,2002,796 CC
Suzuki,Used,Petrol,100000,Cultus VXR,360000,Karachi,Cash,2001,1368 CC
Toyota,New,Petrol,69000,Vitz,1150000,Karachi,Cash,2003,1497 CC
Suzuki,New,CNG,65000,Mehran VX,265000,Karachi,Cash,2005,1497 CC
Suzuki,New,CNG,73000,Mehran VXR,435000,Karachi,Cash,2009,1197 CC
Toyota,Used,Petrol,163000,Corolla GLI,1220000,Karachi,Cash,2009,1248 CC
Suzuki,Used,CNG,56,Cultus VXR,780000,Karachi,Cash,2011,998 CC
Suzuki,Used,CNG,10000,Bolan,250000,Karachi,Cash,1987,2982 CC
Toyota,Used,Petrol,190,Corrolla Altis,875000,Karachi,Cash,2004,2494 CC
Toyota,Used,CNG,65000,Corolla XLI,1260000,Karachi,Cash,2013,2143 CC
Suzuki,Used,Petrol,65000,Cultus VXR,840000,Karachi,Cash,2013,1498 CC
Suzuki,Used,CNG,174000,Alto,350000,Karachi,Cash,2004,2477 CC
Suzuki,Used,Petrol,5458,Baleno,380000,Karachi,Cash,2001,1498 CC
Suzuki,Used,Petrol,90000,Alto,340000,Karachi,Cash,2007,1462 CC
Daihatsu,Used,Petrol,88000,Mira,1050000,Karachi,Cash,2013,1498 CC
Toyota,Used,CNG,200000,Vitz,730000,Karachi,Cash,2006,2755 CC
Suzuki,Used,CNG,28800,Mehran VXR,195000,Karachi,Cash,1995,2494 CC
Honda,New,Petrol,95000,Civic VTi Oriel Prosmatec,1070000,Karachi,Cash,2007,1968 CC
Daihatsu,Used,CNG,71000,Cuore,410000,Karachi,Cash,2001,1798 CC
Daihatsu,Used,CNG,100,Charade,155000,Karachi,Cash,1984,1968 CC
Suzuki,Used,CNG,1,Margalla,320000,Karachi,Cash,1994,2143 CC
Toyota,Used,Diesel,134000,Corolla 2.0 D,1080000,Karachi,Cash,2010,1248 CC
Suzuki,Used,CNG,1,Bolan,290000,Karachi,Cash,1993,1197 CC
Toyota,Used,Petrol,123456,Corolla XE,570000,Karachi,Cash,1998,1396 CC
Toyota,Used,Petrol,92000,Surf,4150000,Karachi,Cash,2007,1248 CC
Suzuki,Used,CNG,1,FX,90000,Karachi,Cash,1988,1196 CC
Suzuki,New,Petrol,36000,Mehran VXR,590000,Karachi,Cash,2015,1197 CC
Toyota,Used,Petrol,40000,Corolla GLI,1740000,Karachi,Cash,2015,1498 CC
Toyota,Used,Petrol,85010,Corolla GLI,916000,Karachi,Cash,2004,1498 CC
Daihatsu,New,Petrol,153736,Cuore,535000,Karachi,Cash,2006,998 CC
Suzuki,Used,CNG,17000,Mehran VX,110000,Hyderabad,Cash,1991,1498 CC
Honda,Used,Petrol,100000,City IDSI,765000,Karachi,Cash,2004,1248 CC
Toyota,Used,Petrol,130000,Premio,1150000,Karachi,Cash,2003,1248 CC
Suzuki,Used,Petrol,150000,Alto,410000,Karachi,Cash,2007,1197 CC
Suzuki,Used,CNG,17000,Mehran VX,110000,Hyderabad,Cash,1991,1248 CC
Honda,Used,Petrol,100000,City IDSI,765000,Karachi,Cash,2004,2982 CC
Toyota,Used,Petrol,130000,Premio,1150000,Karachi,Cash,2003,1248 CC
Suzuki,Used,Petrol,150000,Alto,410000,Karachi,Cash,2007,1373 CC
Toyota,Used,Petrol,55000,Corolla GLI,1890000,Karachi,Cash,2016,
